path	size_lines	mtime
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.pully-fully-pull-based-fleet-reconciler.git.txt	1818	20	2026-06-11 12:13:32.053160984 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.rust-ai-web-auto.git.txt	1776	23	2026-06-11 12:13:32.282164974 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.video-factory.git.txt	1083	19	2026-06-11 12:13:32.420167378 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.video-uploader.git.txt	1223	19	2026-06-11 12:13:32.405167117 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/before.youtube-video-uploader.git.txt	1070	19	2026-06-11 12:13:32.446167831 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/per-repo/repos.tsv	695	20	2026-06-11 12:13:32.023365710 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.ai-auto-repo-rot-scanner-todo-agent.pi-files.txt	180	3	2026-06-11 12:20:01.558877595 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.ai-auto-repo-rot-scanner-todo-agent.pi-untracked.txt	0	0	2026-06-11 12:20:01.558877595 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.ai-auto-writer.pi-files.txt	300	5	2026-06-11 12:20:01.573877852 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.ai-auto-writer.pi-untracked.txt	0	0	2026-06-11 12:20:01.573877852 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.avid.pi-files.txt	1200	20	2026-06-11 12:20:01.595878229 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.avid.pi-untracked.txt	0	0	2026-06-11 12:20:01.595878229 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.browser-extensions-shared.pi-files.txt	0	0	2026-06-11 12:20:01.523876997 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.browser-extensions-shared.pi-untracked.txt	0	0	2026-06-11 12:20:01.524877014 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-ai-lib.pi-files.txt	1828	31	2026-06-11 12:20:01.543877339 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-ai-lib.pi-untracked.txt	0	0	2026-06-11 12:20:01.544877356 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-code.pi-files.txt	358	6	2026-06-11 12:20:01.482876295 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-code.pi-untracked.txt	0	0	2026-06-11 12:20:01.482876295 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.DraconDev.pi-files.txt	780	13	2026-06-11 12:20:01.565877715 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.DraconDev.pi-untracked.txt	0	0	2026-06-11 12:20:01.565877715 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-libs.pi-files.txt	0	0	2026-06-11 12:20:01.607878434 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-libs.pi-untracked.txt	0	0	2026-06-11 12:20:01.608878451 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after..dracon.pi-files.txt	0	0	2026-06-11 12:20:01.536877219 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after..dracon.pi-untracked.txt	0	0	2026-06-11 12:20:01.537877236 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-platform.pi-files.txt	3060	51	2026-06-11 12:20:01.517876894 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-platform.pi-untracked.txt	0	0	2026-06-11 12:20:01.517876894 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-utilities.pi-files.txt	2460	41	2026-06-11 12:20:01.510876774 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.dracon-utilities.pi-untracked.txt	0	0	2026-06-11 12:20:01.511876791 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.folder-auto-banner.pi-files.txt	1500	25	2026-06-11 12:20:01.551877476 +0100
docs/audit/2026-06-11-full-repo-audit/cleanup-except-pi/pi-proof/after.folder-auto-banner.pi-untracked.txt	0	0	2026-06-11 12:20:01.551877476 +0100
